ACCIONA,113.900,117.600,111.500,12:36
ACCIONA ENER,20.200,20.820,19.700,12:36
ACERINOX,10.150,10.280,10.140,12:36
ACS,37.860,38.200,37.640,12:36
AENA,172.700,174.500,172.100,12:36
AMADEUS IT GROUP,59.560,61.140,59.440,12:36
ARCELORMITTAL,24.310,24.680,24.180,12:36
BANCO SABADELL,1.885,1.897,1.828,12:36
BANKINTER,7.394,7.580,7.332,12:36
BBVA,9.850,9.964,9.728,12:36
CAIXABANK,4.755,4.987,4.746,12:36
CELLNEX TELECOM,32.820,33.240,31.690,12:36
COLONIAL,5.650,5.830,5.605,12:36
ENAGAS,14.050,14.150,13.750,12:36
ENDESA,17.235,17.535,17.160,12:36
FERROVIAL,34.220,34.620,34.080,12:36
FLUIDRA,20.380,20.620,19.980,12:36
GRIFOLS,8.890,9.020,8.718,12:36
IAG,2.081,2.114,2.075,12:36
IBERDROLA,11.575,11.695,11.505,12:36
INDITEX,42.820,42.880,42.360,12:36
INDRA,18.010,18.170,17.910,12:36
LOGISTA,25.600,25.880,25.600,12:36
MAPFRE,2.242,2.270,2.242,12:36
MELIÁ HOTELS,7.440,7.490,7.310,12:36
MERLIN PROP,10.730,11.030,10.710,12:36
NATURGY,24.060,24.340,23.860,12:36
REDEIA,15.910,16.070,15.780,12:36
REPSOL,14.375,14.485,14.310,12:36
ROVI,82.850,83.300,81.350,12:36
SACYR,3.402,3.436,3.324,12:36
SANTANDER,4.530,4.600,4.514,12:36
SOLARIA,10.280,10.630,9.880,12:36
TELEFÓNICA,4.261,4.279,4.228,12:36
UNICAJA BANCO,1.272,1.297,1.258,12:36
ACCIONA,113.900,117.600,111.500,13:36
ACCIONA ENER,20.200,20.820,19.700,13:36
ACERINOX,10.150,10.280,10.140,13:36
ACS,37.860,38.200,37.640,13:36
AENA,172.700,174.500,172.100,13:36
AMADEUS IT GROUP,59.560,61.140,59.440,13:36
ARCELORMITTAL,24.310,24.680,24.180,13:36
BANCO SABADELL,1.885,1.897,1.828,13:36
BANKINTER,7.394,7.580,7.332,13:36
BBVA,9.850,9.964,9.728,13:36
CAIXABANK,4.755,4.987,4.746,13:36
CELLNEX TELECOM,32.820,33.240,31.690,13:36
COLONIAL,5.650,5.830,5.605,13:36
ENAGAS,14.050,14.150,13.750,13:36
ENDESA,17.235,17.535,17.160,13:36
FERROVIAL,34.220,34.620,34.080,13:36
FLUIDRA,20.380,20.620,19.980,13:36
GRIFOLS,8.890,9.020,8.718,13:36
IAG,2.081,2.114,2.075,13:36
IBERDROLA,11.575,11.695,11.505,13:36
INDITEX,42.820,42.880,42.360,13:36
INDRA,18.010,18.170,17.910,13:36
LOGISTA,25.600,25.880,25.600,13:36
MAPFRE,2.242,2.270,2.242,13:36
MELIÁ HOTELS,7.440,7.490,7.310,13:36
MERLIN PROP,10.730,11.030,10.710,13:36
NATURGY,24.060,24.340,23.860,13:36
REDEIA,15.910,16.070,15.780,13:36
REPSOL,14.375,14.485,14.310,13:36
ROVI,82.850,83.300,81.350,13:36
SACYR,3.402,3.436,3.324,13:36
SANTANDER,4.530,4.600,4.514,13:36
SOLARIA,10.280,10.630,9.880,13:36
TELEFÓNICA,4.261,4.279,4.228,13:36
UNICAJA BANCO,1.272,1.297,1.258,13:36
ACCIONA,113.900,117.600,111.500,14:37
ACCIONA ENER,20.200,20.820,19.700,14:37
ACERINOX,10.150,10.280,10.140,14:37
ACS,37.860,38.200,37.640,14:37
AENA,172.700,174.500,172.100,14:37
AMADEUS IT GROUP,59.560,61.140,59.440,14:37
ARCELORMITTAL,24.310,24.680,24.180,14:37
BANCO SABADELL,1.885,1.897,1.828,14:37
BANKINTER,7.394,7.580,7.332,14:37
BBVA,9.850,9.964,9.728,14:37
CAIXABANK,4.755,4.987,4.746,14:37
CELLNEX TELECOM,32.820,33.240,31.690,14:37
COLONIAL,5.650,5.830,5.605,14:37
ENAGAS,14.050,14.150,13.750,14:37
ENDESA,17.235,17.535,17.160,14:37
FERROVIAL,34.220,34.620,34.080,14:37
FLUIDRA,20.380,20.620,19.980,14:37
GRIFOLS,8.890,9.020,8.718,14:37
IAG,2.081,2.114,2.075,14:37
IBERDROLA,11.575,11.695,11.505,14:37
INDITEX,42.820,42.880,42.360,14:37
INDRA,18.010,18.170,17.910,14:37
LOGISTA,25.600,25.880,25.600,14:37
MAPFRE,2.242,2.270,2.242,14:37
MELIÁ HOTELS,7.440,7.490,7.310,14:37
MERLIN PROP,10.730,11.030,10.710,14:37
NATURGY,24.060,24.340,23.860,14:37
REDEIA,15.910,16.070,15.780,14:37
REPSOL,14.375,14.485,14.310,14:37
ROVI,82.850,83.300,81.350,14:37
SACYR,3.402,3.436,3.324,14:37
SANTANDER,4.530,4.600,4.514,14:37
SOLARIA,10.280,10.630,9.880,14:37
TELEFÓNICA,4.261,4.279,4.228,14:37
UNICAJA BANCO,1.272,1.297,1.258,14:37
ACCIONA,113.900,117.600,111.500,15:33
ACCIONA ENER,20.200,20.820,19.700,15:33
ACERINOX,10.150,10.280,10.140,15:33
ACS,37.860,38.200,37.640,15:33
AENA,172.700,174.500,172.100,15:33
AMADEUS IT GROUP,59.560,61.140,59.440,15:33
ARCELORMITTAL,24.310,24.680,24.180,15:33
BANCO SABADELL,1.885,1.897,1.828,15:33
BANKINTER,7.394,7.580,7.332,15:33
BBVA,9.850,9.964,9.728,15:33
CAIXABANK,4.755,4.987,4.746,15:33
CELLNEX TELECOM,32.820,33.240,31.690,15:33
COLONIAL,5.650,5.830,5.605,15:33
